日期,LSIN,Market Cost,Impressions,Clicks,Conversions,Conversion Value
2026-05-24,S9730219,282.68,25401.0,380.0,6.94,314.16
2026-05-24,S19954192,127.99,11342.0,165.0,5.63,147.42
